(n, d, k);[Gematria of ELS];Gematria WordTotal of ELS;ELS Search Term;Found in WordNumber In Text;WordCoordinatesDWTK;Found in Word In Text;LetterPositionIndex In Word;LetterCoordinatesD5K of First Letter in ELS;Found In Verse
(14456, 1, 4);[1, 30, 6, 50];87;אלון;3874;(1, 12, 6, 8, 3874);אלון;1;(1, 12, 6, 25, 14456);ויעבר אברם בארץ עד מקום שכם עד אלון מורה והכנעני אז בארץ
(51250, 1, 4);[1, 30, 6, 50];87;אלון;13657;(1, 35, 8, 10, 13657);האלון;2;(1, 35, 8, 37, 51250);ותמת דברה מינקת רבקה ותקבר מתחת לבית אל תחת האלון ויקרא שמו אלון בכות
(51262, 1, 4);[1, 30, 6, 50];87;אלון;13660;(1, 35, 8, 13, 13660);אלון;1;(1, 35, 8, 49, 51262);ותמת דברה מינקת רבקה ותקבר מתחת לבית אל תחת האלון ויקרא שמו אלון בכות
(70903, 1, 4);[1, 30, 6, 50];87;אלון;18749;(1, 46, 14, 4, 18749);ואלון;2;(1, 46, 14, 14, 70903);ובני זבלון סרד ואלון ויחלאל
(118905, 1, 4);[1, 30, 6, 50];87;אלון;31372;(2, 28, 12, 11, 31372);ישראל;4;(2, 28, 12, 41, 118905);ושמת את שתי האבנים על כתפת האפד אבני זכרן לבני ישראל ונשא אהרן את שמותם לפני יהוה על שתי כתפיו לזכרן
(122887, 1, 4);[1, 30, 6, 50];87;אלון;32415;(2, 29, 43, 4, 32415);ישראל;4;(2, 29, 43, 17, 122887);ונעדתי שמה לבני ישראל ונקדש בכבדי
(123841, 1, 4);[1, 30, 6, 50];87;אלון;32658;(2, 30, 16, 7, 32658);ישראל;4;(2, 30, 16, 26, 123841);ולקחת את כסף הכפרים מאת בני ישראל ונתת אתו על עבדת אהל מועד והיה לבני ישראל לזכרון לפני יהוה לכפר על נפשתיכם
(186033, 1, 4);[1, 30, 6, 50];87;אלון;49178;(3, 27, 27, 11, 49178);יגאל;3;(3, 27, 27, 43, 186033);ואם בבהמה הטמאה ופדה בערכך ויסף חמשתו עליו ואם לא יגאל ונמכר בערכך
(205973, 1, 4);[1, 30, 6, 50];87;אלון;54276;(4, 10, 20, 8, 54276);דעואל;4;(4, 10, 20, 25, 205973);ועל צבא מטה בני גד אליסף בן דעואל
(214407, 1, 4);[1, 30, 6, 50];87;אלון;56517;(4, 15, 25, 7, 56517);ישראל;4;(4, 15, 25, 22, 214407);וכפר הכהן על כל עדת בני ישראל ונסלח להם כי שגגה הוא והם הביאו את קרבנם אשה ליהוה וחטאתם לפני יהוה על שגגתם
